id_cliente,edad,ingresos_mensuales,gasto_mensual_promedio,score_crediticio,transacciones_mes,tarjeta_asignada
87744,55,46506.73,14688.13,733,30,Platinum
17915,31,21649.55,12849.06,625,16,Gold
56393,28,26542.5,12073.51,615,18,Gold
12011,23,21942.42,15672.69,680,11,Gold
88340,35,75285.79,33342.81,776,23,Platinum
51460,26,27317.91,15775.93,696,20,Gold
28228,42,23461.49,8170.15,677,12,Gold
69316,30,89640.4,36913.34,718,41,Platinum
88369,58,55962.11,28962.33,709,31,Platinum
37560,42,19771.45,11624.66,592,17,Gold
98717,68,111900.53,30606.97,787,49,Black
12173,27,14820.49,8133.63,697,16,Gold
90314,68,167565.13,80585.48,759,45,Black
54393,33,29048.18,20005.86,631,10,Gold
99846,52,153662.33,69129.31,749,51,Black
20353,39,26518.46,12267.11,711,11,Gold
39425,33,19265.29,9248.51,621,21,Gold
33568,23,16787.06,7133.94,650,9,Gold
16646,35,29467.71,14741.9,636,13,Gold
76004,49,71240.71,28570.12,686,29,Platinum
40964,47,19829.45,10885.15,676,17,Gold
16148,27,32158.18,20969.13,643,17,Gold
74342,39,71272.25,25049.33,721,26,Platinum
9482,27,22823.76,6691.79,588,11,Gold
66365,37,55123.72,26858.4,698,30,Platinum
57445,23,25645.23,10989.47,729,10,Gold
23967,36,20750.62,11364.01,651,15,Gold
87812,54,66252.53,27979.72,754,21,Platinum
99408,44,190711.89,89531.2,794,39,Black
42742,41,31032.47,20097.95,595,17,Gold
11686,47,27534.88,16947.23,703,12,Gold
40293,35,23423.42,13462.21,627,18,Gold
61772,56,60210.98,24163.79,729,27,Platinum
8323,45,34038.15,18492.09,696,14,Gold
41386,45,20166.95,15658.93,548,6,Gold
43560,29,25621.77,10086.7,674,10,Gold
85277,36,91973.89,42786.57,692,38,Platinum
82209,54,60702.06,26089.1,708,25,Platinum
95438,45,139064.05,61140.29,769,44,Black
3037,28,23287.25,10904.36,684,12,Gold
89584,44,50321.78,12537.12,733,34,Platinum
51385,42,22584.38,14413.98,680,21,Gold
17269,45,28969.68,17118.54,577,17,Gold
92050,69,77502.7,29019.7,797,53,Black
90815,54,137029.25,38510.58,809,51,Black
95328,65,158741.54,42127.08,773,54,Black
53912,36,29042.65,17641.43,566,12,Gold
71991,42,73839.23,34230.9,740,27,Platinum
3369,44,27002.41,12243.99,682,18,Gold
21836,36,20889.99,10350.07,629,17,Gold
20050,43,16910.45,8546.49,650,16,Gold
86622,31,57479.13,27962.53,719,38,Platinum
60975,52,61229.19,24701.95,734,20,Platinum
47751,41,16238.08,9848.9,613,14,Gold
97236,65,120950.66,50306.69,805,43,Black
17281,34,26227.64,18184.92,660,12,Gold
6944,35,29801.53,13141.45,606,14,Gold
29779,41,24923.22,18132.71,639,22,Gold
56612,48,30130.45,14498.8,639,11,Gold
61822,56,70641.16,25841.53,710,26,Platinum
11964,39,20049.93,9843.72,615,13,Gold
34364,43,31647.27,20765.04,574,13,Gold
91705,39,122062.1,26826.29,744,37,Black
85743,55,66425.02,33254.25,696,33,Platinum
40864,27,31326.71,17390.3,654,14,Gold
82179,33,68518.42,15414.9,696,30,Platinum
55272,25,25860.0,16461.92,688,13,Gold
15899,43,20862.62,8781.46,617,15,Gold
75223,37,56191.39,23196.42,690,29,Platinum
54027,49,25148.22,11697.78,592,16,Gold
21901,32,26208.83,11432.23,750,16,Gold
62452,32,67130.19,38628.03,736,24,Platinum
61207,38,93585.72,36648.11,651,19,Platinum
61906,61,56160.22,16378.05,779,31,Platinum
1462,26,18878.51,10830.53,665,18,Gold
25339,25,27528.46,15421.15,607,7,Gold
36374,31,26177.0,17084.03,686,16,Gold
12327,23,19017.42,9661.6,599,11,Gold
55816,28,15892.28,12531.95,632,18,Gold
77097,50,71169.43,44271.32,713,34,Platinum
33199,38,30656.5,22070.51,666,13,Gold
24902,41,14652.8,6185.73,625,13,Gold
83423,44,72919.91,37481.82,731,23,Platinum
27141,31,10466.13,4724.94,610,11,Gold
8733,46,26464.14,13693.31,682,18,Gold
45275,40,33496.33,15885.87,600,15,Gold
83279,54,54055.98,23737.43,680,33,Platinum
12823,40,25968.35,17755.88,675,14,Gold
60619,64,45142.6,17227.39,759,32,Platinum
29297,43,16864.64,11820.3,656,15,Gold
58267,37,22992.79,9242.8,754,13,Gold
50656,30,17784.09,12654.9,595,17,Gold
99477,71,121027.67,47910.81,779,47,Black
9662,48,26406.74,17164.41,621,17,Gold
22685,31,22136.81,9440.0,699,9,Gold
88629,31,56653.82,20724.21,710,31,Platinum
30776,32,29084.22,16150.15,666,9,Gold
48140,33,26965.92,15139.5,636,10,Gold
10648,48,26675.8,18861.68,611,19,Gold
80004,40,78094.07,41098.04,747,34,Platinum
25078,45,25377.49,16438.2,598,18,Gold
75192,32,88148.82,39913.46,734,32,Platinum
11215,46,27532.94,15019.62,702,13,Gold
43,42,24421.76,16271.2,653,13,Gold
83827,58,64765.13,24956.48,769,29,Platinum
27241,25,19764.14,6634.01,612,12,Gold
45224,42,25098.6,13831.05,680,12,Gold
56386,25,28928.83,19249.24,688,12,Gold
27833,30,24062.38,16066.99,635,14,Gold
12,45,22671.35,10057.72,707,9,Gold
32907,41,24156.28,9119.47,681,15,Gold
23530,27,19111.79,9312.18,655,14,Gold
50042,31,18507.39,11856.49,658,19,Gold
7481,46,23872.53,11765.28,648,7,Gold
47704,49,22181.81,10213.23,665,12,Gold
21502,30,30344.45,21423.94,596,12,Gold
93600,41,139890.18,44651.19,767,40,Black
93896,68,157428.26,38346.25,807,44,Black
10117,45,27222.96,14495.93,678,15,Gold
58175,45,21276.94,11812.78,685,12,Gold
67074,30,80289.51,26124.29,656,22,Platinum
38937,26,26188.77,11769.24,712,18,Gold
66531,30,51482.58,21735.76,712,22,Platinum
38772,23,25220.65,15540.85,652,13,Gold
22469,48,22449.81,14460.53,648,15,Gold
68865,61,75266.93,22571.33,709,31,Platinum
60378,39,66431.03,28593.8,750,24,Platinum
58860,46,16135.42,8821.37,591,13,Gold
21758,31,27171.46,12639.42,703,17,Gold
12321,22,28113.85,12750.63,665,8,Gold
83130,59,80549.31,46908.48,768,34,Platinum
78877,59,80733.93,36497.21,709,31,Platinum
94784,47,86167.66,35558.18,812,54,Black
86886,61,75754.7,36085.41,741,39,Platinum
87423,44,78901.38,42108.03,761,24,Platinum
84856,58,54760.76,24391.23,728,35,Platinum
77533,59,57762.45,35278.07,760,23,Platinum
18965,32,28731.58,14448.98,621,15,Gold
28715,33,20236.27,13710.17,638,14,Gold
93877,46,146983.58,47968.52,795,42,Black
2619,44,27286.4,20536.77,704,15,Gold
80420,61,48594.15,25815.52,746,31,Platinum
56486,25,21573.83,13011.41,629,17,Gold
31642,39,21438.26,8365.58,586,17,Gold
71571,30,66025.69,25341.83,731,33,Platinum
26899,34,28046.75,11719.88,634,19,Gold
57943,35,28796.83,14201.24,635,10,Gold
84903,54,52753.44,17629.48,714,40,Platinum
99093,59,138607.73,40193.61,801,48,Black
43259,36,25081.81,11244.96,659,15,Gold
19026,38,25450.42,16700.84,596,16,Gold
89632,57,55886.7,20735.74,747,27,Platinum
25810,27,22869.14,13491.97,607,18,Gold
35523,30,28549.82,19716.94,627,16,Gold
21900,49,24212.19,15281.84,734,19,Gold
86767,54,62991.95,30040.41,758,30,Platinum
30043,44,20912.3,13457.07,659,19,Gold
37614,31,25075.02,16502.14,666,14,Gold
12705,42,27553.38,12163.02,650,16,Gold
83240,31,46898.8,16964.34,709,22,Platinum
61449,38,50444.61,20381.67,696,33,Platinum
39739,36,26713.31,13671.69,680,15,Gold
62690,45,67581.48,26613.47,742,22,Platinum
12454,26,22350.04,12138.7,729,19,Gold
72665,55,58373.82,23306.44,754,44,Platinum
5448,46,33840.85,21260.37,663,11,Gold
90770,71,133566.26,33258.23,777,52,Black
82827,64,70606.23,30538.32,720,33,Platinum
47985,27,22344.38,10790.63,672,10,Gold
71185,36,65369.49,22905.24,735,23,Platinum
3527,23,24010.31,16240.48,632,22,Gold
61504,57,101650.72,48127.26,799,25,Platinum
39051,29,30746.05,19333.67,653,12,Gold
96153,66,144630.42,42593.28,783,58,Black
33171,42,25513.15,14037.41,692,17,Gold
19305,42,29262.04,16834.08,596,22,Gold
3281,47,20691.48,6486.71,681,20,Gold
34590,44,24676.13,12076.93,715,22,Gold
91214,40,85266.33,33938.44,763,53,Black
38406,35,27528.69,12218.59,673,20,Gold
2747,31,26206.61,15834.83,669,23,Gold
35875,49,26832.09,16005.66,681,14,Gold
5677,30,25898.11,17338.43,699,9,Gold
84336,38,68680.65,21928.32,737,26,Platinum
13302,27,25343.4,16781.62,566,18,Gold
57505,27,19706.15,9492.55,683,19,Gold
35144,28,20688.79,9048.69,615,13,Gold
71972,53,67611.2,34785.43,769,30,Platinum
79666,63,83419.39,33393.42,767,31,Platinum
92814,46,119569.42,29578.26,774,44,Black
39036,26,13170.09,7237.66,660,11,Gold
65632,42,78068.37,32259.98,825,22,Platinum
5827,25,24454.88,11539.95,689,15,Gold
71686,55,63888.34,29298.52,726,24,Platinum
80674,49,68335.52,28034.61,731,31,Platinum
58541,48,19972.58,6903.47,636,14,Gold
29341,40,25506.06,18171.79,597,16,Gold
55765,37,26964.58,11458.99,655,18,Gold
71912,41,64808.8,36854.65,712,32,Platinum
62122,54,63017.43,23015.03,684,38,Platinum
19927,37,21677.07,10906.82,694,16,Gold
98639,46,123317.75,47880.91,778,30,Black
2708,36,25119.52,13877.5,617,16,Gold
35093,23,16488.88,9306.61,657,13,Gold
76890,42,90452.04,48904.04,716,29,Platinum
90174,73,148440.36,68131.88,809,45,Black
14029,34,28698.8,15288.46,670,17,Gold
62465,39,79727.73,40103.48,707,29,Platinum
85414,50,54121.6,32768.2,713,22,Platinum
7103,34,25513.23,10301.62,641,17,Gold
46532,32,26481.39,16358.95,620,23,Gold
4402,37,30359.65,17107.39,621,18,Gold
96977,43,126348.75,36423.52,791,49,Black
89605,36,57488.01,24898.34,751,19,Platinum
63512,51,44862.26,19904.75,717,22,Platinum
96991,62,123013.44,61045.55,749,49,Black
7662,49,25710.22,11498.16,642,12,Gold
32912,44,22468.82,14463.4,662,14,Gold
41512,22,28983.94,21132.68,624,13,Gold
10948,38,28966.31,16071.91,707,10,Gold
23957,32,28359.94,15570.04,707,11,Gold
51366,27,19923.64,8712.38,661,11,Gold
76617,42,59826.24,30384.29,743,27,Platinum
79186,30,73431.45,42188.98,754,22,Platinum
54556,49,23464.44,13537.69,629,13,Gold
69398,45,61619.74,31788.15,741,39,Platinum
39236,37,19922.84,12693.25,660,13,Gold
61198,57,89349.09,47920.93,710,29,Platinum
91915,47,151635.51,41388.3,810,42,Black
33361,24,25658.58,15462.16,730,13,Gold
94426,47,102312.2,34583.06,795,45,Black
15755,36,24392.56,9943.79,750,20,Gold
64789,44,52423.87,31626.56,725,31,Platinum
9598,40,24812.18,18402.1,646,21,Gold
39885,36,23513.93,14182.21,690,21,Gold
60944,36,99279.28,61561.36,760,32,Platinum
23175,33,24555.0,15332.49,670,11,Gold
77218,60,55880.83,23073.87,738,23,Platinum
64204,55,70344.75,24951.21,784,27,Platinum
95867,35,127235.38,35630.68,773,42,Black
9689,48,24909.33,12896.57,641,10,Gold
64578,64,61869.06,38698.2,721,21,Platinum
16642,44,26634.26,12010.27,686,12,Gold
54394,38,25198.0,16309.46,666,12,Gold
15577,44,25390.39,15286.21,615,14,Gold
33770,41,19555.41,9641.31,602,12,Gold
70442,60,64799.53,36984.82,757,29,Platinum
23951,40,15638.77,10564.96,689,15,Gold
34092,23,33658.46,20880.12,671,15,Gold
89260,38,61256.15,26367.08,730,28,Platinum
88193,52,54624.91,23958.37,742,27,Platinum
25464,43,35485.06,16805.82,603,14,Gold
68323,33,80789.1,34341.49,722,29,Platinum
18912,30,13090.04,5517.37,611,16,Gold
65132,33,53659.19,24469.19,726,33,Platinum
78581,47,56112.83,21482.3,728,28,Platinum
79091,47,49479.74,15096.14,689,24,Platinum
12029,27,17981.92,8039.9,590,26,Gold
16165,31,22606.54,9892.1,745,14,Gold
65428,34,64591.94,22687.98,768,36,Platinum
23004,47,29884.91,17017.69,595,17,Gold
19358,48,22813.82,15481.92,599,11,Gold
23706,36,21501.09,9620.2,674,25,Gold
25404,28,22833.39,15336.85,616,23,Gold
66196,38,71119.57,36139.82,711,28,Platinum
21942,47,31158.47,18928.81,648,14,Gold
45203,40,22579.19,14758.23,695,14,Gold
62219,44,67278.1,21523.39,659,20,Platinum
51403,49,26290.58,14772.67,579,16,Gold
28792,49,26922.8,16036.76,596,22,Gold
76730,31,72853.53,27215.39,751,33,Platinum
10296,31,23643.52,10970.35,637,14,Gold
7441,29,33824.57,20084.71,553,10,Gold
20534,30,26455.05,17626.29,730,15,Gold
6646,29,33992.4,22860.58,610,19,Gold
84127,63,64173.08,30171.27,674,20,Platinum
42837,46,27168.95,19435.24,654,18,Gold
29209,40,32003.28,14545.5,647,16,Gold
33004,22,23363.25,12936.21,690,23,Gold
64905,49,71975.35,25773.99,730,33,Platinum
88861,55,79566.4,44922.37,729,31,Platinum
92785,46,148685.27,50754.62,753,38,Black
25251,45,30285.92,16709.26,587,17,Gold
12951,33,28269.46,19505.63,697,14,Gold
50003,24,29758.95,16879.45,614,19,Gold
96287,35,110050.09,58724.14,827,48,Black
14755,40,30084.15,12983.98,698,24,Gold
45080,47,31712.38,15354.14,673,14,Gold
67325,49,67045.86,25827.6,729,22,Platinum
41199,30,20613.91,13005.79,636,21,Gold
86220,32,64357.84,22576.19,725,27,Platinum
43826,36,29021.33,13858.67,707,11,Gold
74854,64,63428.71,39987.36,726,31,Platinum
84051,42,47670.68,22633.43,747,35,Platinum
29041,34,29733.75,17955.46,661,12,Gold
19762,33,29094.54,18302.37,600,15,Gold
14430,39,30218.88,16390.26,672,14,Gold
72166,51,61460.15,33135.98,714,25,Platinum
93292,59,134179.23,23844.6,804,50,Black
89029,33,72906.69,35409.75,762,38,Platinum
68309,63,54976.72,21851.59,729,29,Platinum
85091,59,48919.47,28341.4,761,28,Platinum
34002,35,24095.13,16777.51,642,12,Gold
24451,34,31081.47,22792.64,612,13,Gold
10625,47,30991.13,19379.84,689,10,Gold
99885,59,200044.45,57679.93,820,51,Black
29395,36,30498.5,20313.77,663,15,Gold
7747,43,32095.18,21547.94,694,12,Gold
88789,56,67502.92,39698.64,758,31,Platinum
77585,42,69957.28,35699.19,786,27,Platinum
87793,39,78405.39,31590.66,720,34,Platinum
34643,37,18450.77,11505.9,646,13,Gold
31069,33,13838.59,6662.67,622,12,Gold
4780,22,9116.48,2782.21,673,14,Gold
88576,39,57930.93,28932.02,766,28,Platinum
38408,27,19090.32,11260.94,654,18,Gold
87375,60,63442.94,32958.25,722,21,Platinum
97666,68,108396.01,52676.39,783,40,Black
33285,28,23676.42,9260.78,633,16,Gold
78914,51,29530.22,7786.35,717,18,Platinum
32447,25,24126.16,12857.73,646,18,Gold
94715,52,175280.01,79707.7,797,48,Black
60982,37,71207.45,24377.53,750,30,Platinum
19548,37,27834.9,20259.52,608,12,Gold
52510,38,23365.26,13991.2,635,17,Gold
71182,46,71769.17,41608.98,715,34,Platinum
26692,26,18833.4,10933.04,671,13,Gold
13018,26,30375.52,13123.21,590,13,Gold
93604,47,140923.27,28116.63,799,53,Black
21019,39,33358.3,16346.33,647,17,Gold
60440,46,66464.08,27100.93,733,20,Platinum
493,43,25386.84,11649.71,693,14,Gold
19227,23,24083.42,11361.68,627,12,Gold
76790,33,94266.42,38385.65,711,30,Platinum
314,24,29067.55,13774.89,669,17,Gold
457,22,24464.85,13940.44,655,16,Gold
47215,22,26629.49,12950.79,716,12,Gold
1165,35,30112.85,12367.48,603,21,Gold
40823,40,31028.94,13670.97,595,23,Gold
29707,29,29058.59,21241.3,598,11,Gold
43342,49,28485.22,15088.03,686,12,Gold
80621,47,75503.54,29159.96,735,17,Platinum
21821,35,27932.05,13431.19,619,12,Gold
57593,48,22921.72,11469.8,673,15,Gold
98145,55,150083.26,34804.92,737,45,Black
85696,55,71660.43,17951.19,754,27,Platinum
4924,25,32070.94,21388.21,662,12,Gold
33786,36,30989.51,19209.55,654,13,Gold
62761,60,83425.11,31923.55,720,27,Platinum
83213,40,61764.64,36825.09,737,29,Platinum
64932,47,77030.93,34934.88,692,31,Platinum
87166,41,74375.14,27744.02,680,30,Platinum
94331,67,112138.35,43423.78,820,55,Black
90838,52,147546.02,49593.52,815,51,Black
44950,43,22534.76,13227.36,652,13,Gold
43589,27,22771.59,17771.82,629,20,Gold
4094,35,26107.79,12368.3,645,18,Gold
43919,43,30905.32,18768.47,625,12,Gold
46911,49,29249.04,11993.91,621,20,Gold
55064,27,24424.25,10981.07,693,11,Gold
36368,35,33837.72,18353.12,623,16,Gold
32593,33,20671.31,13828.87,709,19,Gold
86206,30,65781.9,33318.01,760,34,Platinum
20404,37,22382.23,9563.53,640,12,Gold
57672,38,22867.46,12119.69,629,11,Gold
17878,42,27301.64,17921.04,671,15,Gold
67526,54,55530.25,29542.96,728,26,Platinum
43501,34,29697.83,17166.15,564,20,Gold
82127,36,77526.43,26344.79,684,33,Platinum
12144,25,33014.22,22410.73,704,25,Gold
57860,39,25218.46,15253.59,658,14,Gold
68278,31,64633.91,25891.82,687,32,Platinum
85459,52,41177.11,13562.93,732,19,Platinum
16257,42,19222.52,10955.92,641,16,Gold
70038,58,59779.56,31314.48,729,21,Platinum
84776,48,68074.2,24290.99,704,30,Platinum
51443,25,22946.97,13351.7,685,22,Gold
47398,47,33453.14,17680.23,746,16,Gold
12767,43,25071.91,10469.02,611,13,Gold
51369,42,17393.39,12079.85,686,9,Gold
18595,34,25168.25,16298.34,650,11,Gold
31401,22,21989.1,14541.48,661,19,Gold
96078,61,113973.59,43668.1,775,54,Black
84704,33,61082.43,28700.02,729,24,Platinum
67943,63,62409.94,29542.84,682,28,Platinum
4435,22,22234.55,11533.26,645,11,Gold
65778,38,85870.3,32869.01,755,26,Platinum
87549,47,72905.61,24237.39,714,20,Platinum
91760,49,166211.62,43351.71,826,49,Black
8938,49,36204.63,14755.02,580,16,Gold
71586,58,72520.53,35836.05,717,26,Platinum
80980,62,59959.48,21966.62,747,19,Platinum
51054,39,20999.19,12133.55,607,11,Gold
28357,34,26662.18,15444.33,719,8,Gold
70283,35,73697.81,28615.58,714,36,Platinum
61788,52,65504.27,33611.44,690,24,Platinum
31439,27,17050.35,9255.57,707,19,Gold
69754,51,66816.75,18229.51,747,29,Platinum
42717,22,10523.67,3316.52,651,20,Gold
16134,29,14565.76,7793.82,637,13,Gold
44503,48,28599.88,15827.0,598,18,Gold
76801,61,66512.1,34104.11,710,33,Platinum
11267,36,26404.64,14213.33,666,13,Gold
11783,45,15819.97,9938.34,655,12,Gold
26440,27,25549.18,17207.37,629,16,Gold
49325,38,36461.06,24498.16,651,21,Gold
96341,38,130374.33,44744.78,797,36,Black
37736,25,28277.93,14482.39,628,14,Gold
96450,60,136017.65,34556.97,782,49,Black
31283,35,18141.87,11540.37,627,13,Gold
57330,45,26226.63,13190.56,651,11,Gold
90199,39,84252.37,40647.24,776,41,Black
69848,47,60903.55,23629.96,742,26,Platinum
31587,36,20915.47,10543.39,699,9,Gold
18283,32,21998.22,10090.8,622,17,Gold
23647,33,24070.32,11223.44,654,18,Gold
62677,33,59819.22,36173.62,732,30,Platinum
94819,46,125243.68,36912.07,777,50,Black
61241,60,70455.48,22803.61,741,26,Platinum
60902,57,59479.21,22162.58,766,35,Platinum
93856,36,152833.62,48726.78,799,34,Black
62737,30,50662.55,19273.08,720,40,Platinum
59277,38,16518.24,12326.37,681,25,Gold
68591,31,57299.71,22051.52,761,38,Platinum
85400,47,60444.88,26550.18,708,32,Platinum
40217,29,27901.04,14412.5,660,18,Gold
15028,31,28701.67,13305.08,616,10,Gold
88561,36,64633.63,25806.59,758,33,Platinum
25032,45,19407.25,10098.7,613,14,Gold
78837,35,64666.1,21972.85,740,27,Platinum
22302,23,28384.41,20973.34,631,14,Gold
14951,45,34340.16,16090.47,637,9,Gold
28482,41,26243.65,15519.17,612,20,Gold
85577,37,74059.42,26854.5,725,28,Platinum
91845,57,113782.28,47801.36,757,36,Black
52597,39,21353.37,9286.57,647,15,Gold
77857,48,35173.21,11663.24,668,26,Platinum
88903,43,63869.68,41314.34,741,20,Platinum
91126,60,135783.34,47045.89,795,27,Black
81013,31,81090.12,31021.9,758,31,Platinum
64068,44,77400.82,31869.74,707,31,Platinum
49948,28,28426.14,13066.12,721,14,Gold
97452,48,101544.24,25850.86,793,40,Black
11740,24,25674.01,15442.44,654,10,Gold
36663,26,28233.91,18151.08,632,12,Gold
46236,36,20689.49,10864.74,661,14,Gold
18052,43,24652.67,14916.2,664,11,Gold
82022,48,89028.18,24882.24,719,20,Platinum
22550,22,26974.86,16586.05,610,10,Gold
43953,24,25438.08,11510.45,576,14,Gold
22122,48,28034.57,11003.56,694,17,Gold
18277,47,22252.28,9176.58,677,18,Gold
17560,41,19199.9,13061.08,581,12,Gold
42790,44,31043.84,21073.26,707,17,Gold
4239,23,32266.38,16594.85,605,15,Gold
70648,46,59571.58,26467.09,736,26,Platinum
33649,38,19464.0,13663.71,615,15,Gold
26641,47,29516.44,13624.97,625,17,Gold
5138,42,28644.71,14026.59,734,12,Gold
83614,32,74400.91,44984.28,734,30,Platinum
95501,47,168005.99,91169.07,791,40,Black
14532,49,25080.18,16611.22,567,19,Gold
1057,36,24872.23,15780.84,645,19,Gold
70382,51,50715.81,20406.98,740,27,Platinum
60445,60,67355.09,42454.41,691,35,Platinum
67036,35,69614.24,38018.89,695,24,Platinum
10084,45,32834.27,17905.75,687,14,Gold
81928,38,73017.28,42936.62,713,33,Platinum
55634,35,24257.07,13370.55,633,11,Gold
28874,31,22386.08,11207.75,661,11,Gold
80706,56,54027.15,24313.09,736,20,Platinum
80365,43,69622.82,24940.15,727,28,Platinum
84005,48,83850.28,32327.79,745,28,Platinum
12771,29,31489.7,16677.85,635,17,Gold
