id_correo,texto,etiqueta
79,atención: descuento exclusivo hoy haz clic aquí,Spam
80,invierte en cripto ya haz clic aquí,Spam
81,"estimado usuario, adjunto envío el reporte mensual saludos.",Ham
82,"saludos, enviaré los comentarios por correo saludos.",Ham
83,"estimado usuario, descuento exclusivo hoy solo por hoy",Spam
84,"saludos, felicidades eres el ganador ¡apúrate!",Spam
85,"estimado usuario, viagra sin receta solo por hoy",Spam
86,viagra sin receta haz clic aquí,Spam
87,"hola, te informo que favor de confirmar asistencia al curso quedo atento.",Ham
88,atención: enviaré los comentarios por correo saludos.,Ham
89,atención: gracias por el apoyo en la entrega gracias.,Ham
90,"hola, te informo que hola quedamos a las cinco saludos.",Ham
91,"hola, te informo que urgente cambiar contraseña haz clic aquí",Spam
92,"saludos, reunión para revisar el proyecto quedo atento.",Ham
93,¿vamos a comer hoy? gracias.,Ham
94,¿vamos a comer hoy? quedo atento.,Ham
95,actualización del servidor el fin de semana gracias.,Ham
96,atención: adjunto envío el reporte mensual quedo atento.,Ham
97,atención: hola quedamos a las cinco quedo atento.,Ham
98,atención: adjunto envío el reporte mensual gracias.,Ham
99,"saludos, descuento exclusivo hoy ¡apúrate!",Spam
100,"hola, te informo que invierte en cripto ya solo por hoy",Spam
101,"estimado usuario, premio garantizado solo por hoy",Spam
102,"saludos, enviaré los comentarios por correo saludos.",Ham
103,atención: gana un iphone ¡apúrate!,Spam
104,"estimado usuario, gracias por el apoyo en la entrega saludos.",Ham
105,"hola, te informo que favor de confirmar asistencia al curso gracias.",Ham
106,"hola, te informo que premio garantizado solo por hoy",Spam
107,atención: adjunto envío el reporte mensual gracias.,Ham
108,"estimado usuario, gracias por el apoyo en la entrega saludos.",Ham
109,ganar dinero gratis ¡apúrate!,Spam
110,"hola, te informo que viagra sin receta ¡apúrate!",Spam
111,invierte en cripto ya solo por hoy,Spam
112,ganar dinero gratis haz clic aquí,Spam
113,adjunto envío el reporte mensual gracias.,Ham
114,"hola, te informo que ¿vamos a comer hoy? quedo atento.",Ham
115,"saludos, gracias por el apoyo en la entrega saludos.",Ham
116,"estimado usuario, ¿vamos a comer hoy? quedo atento.",Ham
117,atención: favor de confirmar asistencia al curso gracias.,Ham
118,viagra sin receta haz clic aquí,Spam
119,"saludos, favor de confirmar asistencia al curso quedo atento.",Ham
120,"estimado usuario, reunión para revisar el proyecto gracias.",Ham
121,"hola, te informo que hola quedamos a las cinco saludos.",Ham
122,¿vamos a comer hoy? saludos.,Ham
123,atención: urgente cambiar contraseña ¡apúrate!,Spam
124,"saludos, urgente cambiar contraseña haz clic aquí",Spam
125,"saludos, descuento exclusivo hoy solo por hoy",Spam
126,"hola, te informo que favor de confirmar asistencia al curso quedo atento.",Ham
127,"estimado usuario, gracias por el apoyo en la entrega gracias.",Ham
128,adjunto envío el reporte mensual saludos.,Ham
129,"hola, te informo que ganar dinero gratis haz clic aquí",Spam
130,"estimado usuario, hola quedamos a las cinco quedo atento.",Ham
131,"estimado usuario, favor de confirmar asistencia al curso saludos.",Ham
132,atención: viagra sin receta solo por hoy,Spam
133,"saludos, ganar dinero gratis solo por hoy",Spam
134,"saludos, invierte en cripto ya solo por hoy",Spam
135,"saludos, ¿vamos a comer hoy? quedo atento.",Ham
136,"estimado usuario, premio garantizado ¡apúrate!",Spam
137,atención: hola quedamos a las cinco gracias.,Ham
138,enviaré los comentarios por correo gracias.,Ham
139,atención: viagra sin receta ¡apúrate!,Spam
140,"saludos, enviaré los comentarios por correo quedo atento.",Ham
141,hola quedamos a las cinco saludos.,Ham
142,"hola, te informo que felicidades eres el ganador haz clic aquí",Spam
143,"hola, te informo que actualización del servidor el fin de semana gracias.",Ham
144,"estimado usuario, descuento exclusivo hoy haz clic aquí",Spam
145,"saludos, descuento exclusivo hoy solo por hoy",Spam
146,"estimado usuario, invierte en cripto ya solo por hoy",Spam
147,"saludos, favor de confirmar asistencia al curso quedo atento.",Ham
148,"hola, te informo que ¿vamos a comer hoy? gracias.",Ham
149,"hola, te informo que reclama tu herencia solo por hoy",Spam
150,"saludos, invierte en cripto ya solo por hoy",Spam
151,atención: actualización del servidor el fin de semana quedo atento.,Ham
152,"hola, te informo que viagra sin receta haz clic aquí",Spam
153,atención: viagra sin receta solo por hoy,Spam
154,"hola, te informo que gracias por el apoyo en la entrega saludos.",Ham
155,atención: adjunto envío el reporte mensual saludos.,Ham
156,"estimado usuario, invierte en cripto ya haz clic aquí",Spam
157,"saludos, adjunto envío el reporte mensual saludos.",Ham
158,"hola, te informo que adjunto envío el reporte mensual gracias.",Ham
159,"estimado usuario, urgente cambiar contraseña solo por hoy",Spam
160,atención: adjunto envío el reporte mensual quedo atento.,Ham
161,atención: felicidades eres el ganador solo por hoy,Spam
162,"estimado usuario, ¿vamos a comer hoy? gracias.",Ham
163,"saludos, hola quedamos a las cinco saludos.",Ham
164,"hola, te informo que gracias por el apoyo en la entrega saludos.",Ham
165,"hola, te informo que reclama tu herencia haz clic aquí",Spam
166,hola quedamos a las cinco quedo atento.,Ham
167,"saludos, premio garantizado solo por hoy",Spam
168,"saludos, premio garantizado solo por hoy",Spam
169,"hola, te informo que urgente cambiar contraseña ¡apúrate!",Spam
170,favor de confirmar asistencia al curso saludos.,Ham
171,"estimado usuario, favor de confirmar asistencia al curso saludos.",Ham
172,"hola, te informo que invierte en cripto ya solo por hoy",Spam
173,"saludos, hola quedamos a las cinco gracias.",Ham
174,"saludos, gana un iphone solo por hoy",Spam
175,"saludos, enviaré los comentarios por correo quedo atento.",Ham
176,"hola, te informo que premio garantizado haz clic aquí",Spam
177,"estimado usuario, adjunto envío el reporte mensual gracias.",Ham
178,"estimado usuario, viagra sin receta solo por hoy",Spam
179,favor de confirmar asistencia al curso gracias.,Ham
180,"estimado usuario, premio garantizado ¡apúrate!",Spam
181,"saludos, ganar dinero gratis solo por hoy",Spam
182,atención: premio garantizado ¡apúrate!,Spam
183,"estimado usuario, favor de confirmar asistencia al curso saludos.",Ham
184,"hola, te informo que adjunto envío el reporte mensual quedo atento.",Ham
185,"saludos, urgente cambiar contraseña haz clic aquí",Spam
186,atención: adjunto envío el reporte mensual quedo atento.,Ham
187,"estimado usuario, ¿vamos a comer hoy? saludos.",Ham
188,"estimado usuario, adjunto envío el reporte mensual quedo atento.",Ham
189,"saludos, gracias por el apoyo en la entrega quedo atento.",Ham
190,atención: viagra sin receta ¡apúrate!,Spam
191,"estimado usuario, descuento exclusivo hoy haz clic aquí",Spam
192,atención: hola quedamos a las cinco quedo atento.,Ham
193,atención: actualización del servidor el fin de semana gracias.,Ham
194,"hola, te informo que ¿vamos a comer hoy? saludos.",Ham
195,felicidades eres el ganador solo por hoy,Spam
196,atención: viagra sin receta haz clic aquí,Spam
197,atención: actualización del servidor el fin de semana saludos.,Ham
198,"estimado usuario, hola quedamos a las cinco saludos.",Ham
199,"hola, te informo que reunión para revisar el proyecto quedo atento.",Ham
200,"hola, te informo que ¿vamos a comer hoy? saludos.",Ham
201,enviaré los comentarios por correo quedo atento.,Ham
202,atención: gana un iphone ¡apúrate!,Spam
203,"saludos, premio garantizado solo por hoy",Spam
204,atención: favor de confirmar asistencia al curso quedo atento.,Ham
205,atención: adjunto envío el reporte mensual gracias.,Ham
206,"hola, te informo que felicidades eres el ganador solo por hoy",Spam
207,atención: gana un iphone solo por hoy,Spam
208,atención: gracias por el apoyo en la entrega saludos.,Ham
209,"saludos, viagra sin receta ¡apúrate!",Spam
210,gana un iphone haz clic aquí,Spam
211,hola quedamos a las cinco saludos.,Ham
212,"saludos, actualización del servidor el fin de semana saludos.",Ham
213,actualización del servidor el fin de semana quedo atento.,Ham
214,"estimado usuario, reclama tu herencia ¡apúrate!",Spam
215,atención: hola quedamos a las cinco saludos.,Ham
216,"estimado usuario, gana un iphone solo por hoy",Spam
217,atención: premio garantizado haz clic aquí,Spam
218,atención: favor de confirmar asistencia al curso quedo atento.,Ham
219,atención: hola quedamos a las cinco quedo atento.,Ham
220,"estimado usuario, adjunto envío el reporte mensual saludos.",Ham
221,"saludos, ¿vamos a comer hoy? quedo atento.",Ham
222,"hola, te informo que favor de confirmar asistencia al curso gracias.",Ham
223,"saludos, descuento exclusivo hoy ¡apúrate!",Spam
224,atención: gana un iphone haz clic aquí,Spam
225,atención: felicidades eres el ganador haz clic aquí,Spam
226,"hola, te informo que premio garantizado haz clic aquí",Spam
227,reunión para revisar el proyecto saludos.,Ham
228,"hola, te informo que reclama tu herencia ¡apúrate!",Spam
229,"saludos, ¿vamos a comer hoy? quedo atento.",Ham
230,"hola, te informo que favor de confirmar asistencia al curso gracias.",Ham
231,"estimado usuario, favor de confirmar asistencia al curso gracias.",Ham
232,gracias por el apoyo en la entrega gracias.,Ham
233,gracias por el apoyo en la entrega quedo atento.,Ham
234,"estimado usuario, enviaré los comentarios por correo saludos.",Ham
235,"estimado usuario, urgente cambiar contraseña ¡apúrate!",Spam
236,atención: adjunto envío el reporte mensual gracias.,Ham
237,atención: invierte en cripto ya haz clic aquí,Spam
238,"saludos, viagra sin receta solo por hoy",Spam
239,"saludos, favor de confirmar asistencia al curso saludos.",Ham
240,"estimado usuario, reclama tu herencia ¡apúrate!",Spam
241,enviaré los comentarios por correo saludos.,Ham
242,"estimado usuario, adjunto envío el reporte mensual gracias.",Ham
243,¿vamos a comer hoy? saludos.,Ham
244,"saludos, ganar dinero gratis solo por hoy",Spam
245,"saludos, ganar dinero gratis haz clic aquí",Spam
246,"saludos, ¿vamos a comer hoy? gracias.",Ham
247,"estimado usuario, actualización del servidor el fin de semana saludos.",Ham
248,"hola, te informo que actualización del servidor el fin de semana gracias.",Ham
249,"estimado usuario, hola quedamos a las cinco quedo atento.",Ham
250,"saludos, hola quedamos a las cinco gracias.",Ham
251,atención: reclama tu herencia solo por hoy,Spam
252,"saludos, reclama tu herencia haz clic aquí",Spam
253,"estimado usuario, favor de confirmar asistencia al curso gracias.",Ham
254,descuento exclusivo hoy ¡apúrate!,Spam
255,"hola, te informo que urgente cambiar contraseña haz clic aquí",Spam
256,"estimado usuario, gracias por el apoyo en la entrega gracias.",Ham
257,"saludos, reunión para revisar el proyecto quedo atento.",Ham
258,"saludos, enviaré los comentarios por correo saludos.",Ham
259,atención: hola quedamos a las cinco quedo atento.,Ham
260,felicidades eres el ganador solo por hoy,Spam
261,hola quedamos a las cinco saludos.,Ham
262,"saludos, favor de confirmar asistencia al curso gracias.",Ham
263,atención: ganar dinero gratis haz clic aquí,Spam
264,"hola, te informo que gracias por el apoyo en la entrega gracias.",Ham
265,"saludos, hola quedamos a las cinco gracias.",Ham
266,favor de confirmar asistencia al curso quedo atento.,Ham
267,"hola, te informo que actualización del servidor el fin de semana quedo atento.",Ham
268,hola quedamos a las cinco saludos.,Ham
269,"estimado usuario, reclama tu herencia ¡apúrate!",Spam
270,"estimado usuario, viagra sin receta haz clic aquí",Spam
271,"saludos, hola quedamos a las cinco saludos.",Ham
272,¿vamos a comer hoy? gracias.,Ham
273,reunión para revisar el proyecto gracias.,Ham
274,"saludos, gracias por el apoyo en la entrega saludos.",Ham
275,reunión para revisar el proyecto saludos.,Ham
276,"hola, te informo que gracias por el apoyo en la entrega saludos.",Ham
277,favor de confirmar asistencia al curso gracias.,Ham
278,gracias por el apoyo en la entrega saludos.,Ham
279,"estimado usuario, hola quedamos a las cinco gracias.",Ham
280,"estimado usuario, actualización del servidor el fin de semana quedo atento.",Ham
281,"estimado usuario, actualización del servidor el fin de semana gracias.",Ham
282,"hola, te informo que premio garantizado solo por hoy",Spam
283,"hola, te informo que premio garantizado haz clic aquí",Spam
284,"saludos, reclama tu herencia ¡apúrate!",Spam
285,adjunto envío el reporte mensual gracias.,Ham
286,"estimado usuario, reclama tu herencia ¡apúrate!",Spam
287,"hola, te informo que actualización del servidor el fin de semana saludos.",Ham
288,"saludos, adjunto envío el reporte mensual quedo atento.",Ham
289,"hola, te informo que premio garantizado solo por hoy",Spam
290,"estimado usuario, adjunto envío el reporte mensual gracias.",Ham
291,"saludos, gana un iphone ¡apúrate!",Spam
292,"hola, te informo que invierte en cripto ya haz clic aquí",Spam
293,"estimado usuario, adjunto envío el reporte mensual saludos.",Ham
294,gana un iphone haz clic aquí,Spam
295,"estimado usuario, premio garantizado solo por hoy",Spam
296,hola quedamos a las cinco gracias.,Ham
297,"estimado usuario, reunión para revisar el proyecto saludos.",Ham
298,reclama tu herencia solo por hoy,Spam
299,"estimado usuario, favor de confirmar asistencia al curso saludos.",Ham
300,"saludos, felicidades eres el ganador ¡apúrate!",Spam
301,"hola, te informo que urgente cambiar contraseña solo por hoy",Spam
302,"estimado usuario, gracias por el apoyo en la entrega saludos.",Ham
303,reunión para revisar el proyecto quedo atento.,Ham
304,"saludos, gracias por el apoyo en la entrega gracias.",Ham
305,atención: favor de confirmar asistencia al curso saludos.,Ham
306,"estimado usuario, favor de confirmar asistencia al curso gracias.",Ham
307,"hola, te informo que actualización del servidor el fin de semana gracias.",Ham
308,"hola, te informo que felicidades eres el ganador solo por hoy",Spam
309,atención: actualización del servidor el fin de semana quedo atento.,Ham
310,premio garantizado ¡apúrate!,Spam
311,"saludos, adjunto envío el reporte mensual gracias.",Ham
312,atención: premio garantizado haz clic aquí,Spam
313,"saludos, urgente cambiar contraseña haz clic aquí",Spam
314,actualización del servidor el fin de semana quedo atento.,Ham
315,favor de confirmar asistencia al curso quedo atento.,Ham
316,"saludos, hola quedamos a las cinco gracias.",Ham
317,"saludos, enviaré los comentarios por correo quedo atento.",Ham
318,"saludos, viagra sin receta solo por hoy",Spam
319,"estimado usuario, premio garantizado ¡apúrate!",Spam
320,"hola, te informo que invierte en cripto ya haz clic aquí",Spam
321,"estimado usuario, favor de confirmar asistencia al curso quedo atento.",Ham
322,"hola, te informo que ¿vamos a comer hoy? gracias.",Ham
323,"estimado usuario, hola quedamos a las cinco saludos.",Ham
324,"saludos, reclama tu herencia ¡apúrate!",Spam
325,atención: favor de confirmar asistencia al curso gracias.,Ham
326,"estimado usuario, enviaré los comentarios por correo saludos.",Ham
327,reunión para revisar el proyecto gracias.,Ham
328,atención: actualización del servidor el fin de semana gracias.,Ham
329,gracias por el apoyo en la entrega saludos.,Ham
330,atención: descuento exclusivo hoy solo por hoy,Spam
331,atención: reclama tu herencia ¡apúrate!,Spam
332,atención: ¿vamos a comer hoy? saludos.,Ham
333,atención: invierte en cripto ya solo por hoy,Spam
334,"estimado usuario, ganar dinero gratis ¡apúrate!",Spam
335,"hola, te informo que viagra sin receta ¡apúrate!",Spam
336,atención: ganar dinero gratis solo por hoy,Spam
337,"estimado usuario, actualización del servidor el fin de semana saludos.",Ham
338,"estimado usuario, ¿vamos a comer hoy? quedo atento.",Ham
339,"hola, te informo que adjunto envío el reporte mensual saludos.",Ham
340,"saludos, felicidades eres el ganador haz clic aquí",Spam
341,favor de confirmar asistencia al curso gracias.,Ham
342,atención: gracias por el apoyo en la entrega saludos.,Ham
343,"saludos, viagra sin receta ¡apúrate!",Spam
344,"estimado usuario, enviaré los comentarios por correo quedo atento.",Ham
345,"saludos, urgente cambiar contraseña solo por hoy",Spam
346,"hola, te informo que actualización del servidor el fin de semana quedo atento.",Ham
347,"hola, te informo que hola quedamos a las cinco saludos.",Ham
348,"saludos, ganar dinero gratis solo por hoy",Spam
349,"hola, te informo que gana un iphone haz clic aquí",Spam
350,enviaré los comentarios por correo gracias.,Ham
351,atención: favor de confirmar asistencia al curso saludos.,Ham
352,reunión para revisar el proyecto saludos.,Ham
353,enviaré los comentarios por correo saludos.,Ham
354,"saludos, descuento exclusivo hoy solo por hoy",Spam
355,atención: urgente cambiar contraseña ¡apúrate!,Spam
356,enviaré los comentarios por correo saludos.,Ham
357,"saludos, urgente cambiar contraseña ¡apúrate!",Spam
358,favor de confirmar asistencia al curso quedo atento.,Ham
359,"saludos, gracias por el apoyo en la entrega gracias.",Ham
360,reunión para revisar el proyecto saludos.,Ham
361,"estimado usuario, ganar dinero gratis ¡apúrate!",Spam
362,atención: enviaré los comentarios por correo gracias.,Ham
363,"estimado usuario, adjunto envío el reporte mensual quedo atento.",Ham
364,hola quedamos a las cinco saludos.,Ham
365,"estimado usuario, reunión para revisar el proyecto gracias.",Ham
366,"saludos, ganar dinero gratis haz clic aquí",Spam
367,"estimado usuario, hola quedamos a las cinco quedo atento.",Ham
368,adjunto envío el reporte mensual quedo atento.,Ham
369,"hola, te informo que premio garantizado solo por hoy",Spam
370,"saludos, reclama tu herencia ¡apúrate!",Spam
371,urgente cambiar contraseña ¡apúrate!,Spam
372,"estimado usuario, urgente cambiar contraseña haz clic aquí",Spam
373,"hola, te informo que ganar dinero gratis solo por hoy",Spam
374,atención: adjunto envío el reporte mensual gracias.,Ham
375,"hola, te informo que gana un iphone haz clic aquí",Spam
376,"hola, te informo que viagra sin receta haz clic aquí",Spam
377,"saludos, gracias por el apoyo en la entrega gracias.",Ham
378,"saludos, invierte en cripto ya haz clic aquí",Spam
379,"estimado usuario, hola quedamos a las cinco saludos.",Ham
380,"estimado usuario, viagra sin receta haz clic aquí",Spam
381,"hola, te informo que invierte en cripto ya ¡apúrate!",Spam
382,enviaré los comentarios por correo saludos.,Ham
383,"estimado usuario, favor de confirmar asistencia al curso gracias.",Ham
384,"estimado usuario, adjunto envío el reporte mensual saludos.",Ham
385,atención: enviaré los comentarios por correo gracias.,Ham
386,"saludos, gracias por el apoyo en la entrega saludos.",Ham
387,"estimado usuario, reclama tu herencia haz clic aquí",Spam
388,"saludos, viagra sin receta ¡apúrate!",Spam
389,¿vamos a comer hoy? gracias.,Ham
390,atención: actualización del servidor el fin de semana saludos.,Ham
391,"estimado usuario, enviaré los comentarios por correo saludos.",Ham
392,hola quedamos a las cinco saludos.,Ham
393,"hola, te informo que reclama tu herencia solo por hoy",Spam
394,gracias por el apoyo en la entrega saludos.,Ham
395,"hola, te informo que ganar dinero gratis haz clic aquí",Spam
396,"saludos, favor de confirmar asistencia al curso gracias.",Ham
397,"estimado usuario, enviaré los comentarios por correo gracias.",Ham
398,"saludos, favor de confirmar asistencia al curso gracias.",Ham
399,"hola, te informo que enviaré los comentarios por correo quedo atento.",Ham
400,gracias por el apoyo en la entrega quedo atento.,Ham
401,"estimado usuario, reclama tu herencia ¡apúrate!",Spam
402,"saludos, favor de confirmar asistencia al curso saludos.",Ham
403,"hola, te informo que adjunto envío el reporte mensual quedo atento.",Ham
404,gracias por el apoyo en la entrega gracias.,Ham
405,ganar dinero gratis haz clic aquí,Spam
406,"estimado usuario, favor de confirmar asistencia al curso quedo atento.",Ham
407,"saludos, urgente cambiar contraseña solo por hoy",Spam
408,"saludos, gana un iphone solo por hoy",Spam
409,"saludos, hola quedamos a las cinco gracias.",Ham
410,"hola, te informo que premio garantizado haz clic aquí",Spam
411,reclama tu herencia solo por hoy,Spam
412,enviaré los comentarios por correo saludos.,Ham
413,"estimado usuario, hola quedamos a las cinco gracias.",Ham
414,"estimado usuario, actualización del servidor el fin de semana quedo atento.",Ham
415,hola quedamos a las cinco saludos.,Ham
416,"saludos, ¿vamos a comer hoy? gracias.",Ham
417,"saludos, reclama tu herencia ¡apúrate!",Spam
418,"saludos, premio garantizado haz clic aquí",Spam
419,"saludos, gracias por el apoyo en la entrega quedo atento.",Ham
420,"saludos, adjunto envío el reporte mensual gracias.",Ham
421,"hola, te informo que favor de confirmar asistencia al curso gracias.",Ham
422,"saludos, adjunto envío el reporte mensual gracias.",Ham
423,"estimado usuario, ganar dinero gratis ¡apúrate!",Spam
424,favor de confirmar asistencia al curso gracias.,Ham
425,"saludos, reclama tu herencia haz clic aquí",Spam
426,"estimado usuario, ¿vamos a comer hoy? gracias.",Ham
427,"hola, te informo que reunión para revisar el proyecto gracias.",Ham
428,"estimado usuario, hola quedamos a las cinco saludos.",Ham
429,premio garantizado solo por hoy,Spam
430,ganar dinero gratis solo por hoy,Spam
431,"hola, te informo que urgente cambiar contraseña solo por hoy",Spam
432,"estimado usuario, adjunto envío el reporte mensual saludos.",Ham
433,atención: ¿vamos a comer hoy? gracias.,Ham
434,"estimado usuario, invierte en cripto ya ¡apúrate!",Spam
435,"saludos, reclama tu herencia solo por hoy",Spam
436,"estimado usuario, favor de confirmar asistencia al curso quedo atento.",Ham
437,"hola, te informo que premio garantizado ¡apúrate!",Spam
438,"saludos, reunión para revisar el proyecto quedo atento.",Ham
439,"estimado usuario, actualización del servidor el fin de semana saludos.",Ham
440,"hola, te informo que viagra sin receta ¡apúrate!",Spam
441,"hola, te informo que felicidades eres el ganador haz clic aquí",Spam
442,atención: reunión para revisar el proyecto gracias.,Ham
443,gana un iphone solo por hoy,Spam
444,reclama tu herencia haz clic aquí,Spam
445,"estimado usuario, enviaré los comentarios por correo gracias.",Ham
446,atención: gracias por el apoyo en la entrega quedo atento.,Ham
447,hola quedamos a las cinco saludos.,Ham
448,"estimado usuario, hola quedamos a las cinco gracias.",Ham
449,"saludos, felicidades eres el ganador ¡apúrate!",Spam
450,premio garantizado haz clic aquí,Spam
451,"saludos, reunión para revisar el proyecto quedo atento.",Ham
452,"estimado usuario, enviaré los comentarios por correo quedo atento.",Ham
453,"estimado usuario, reunión para revisar el proyecto gracias.",Ham
454,¿vamos a comer hoy? quedo atento.,Ham
455,"estimado usuario, gana un iphone ¡apúrate!",Spam
456,¿vamos a comer hoy? gracias.,Ham
457,felicidades eres el ganador haz clic aquí,Spam
458,"estimado usuario, favor de confirmar asistencia al curso quedo atento.",Ham
459,"estimado usuario, urgente cambiar contraseña haz clic aquí",Spam
460,"saludos, viagra sin receta solo por hoy",Spam
461,felicidades eres el ganador ¡apúrate!,Spam
462,"hola, te informo que gracias por el apoyo en la entrega saludos.",Ham
463,"hola, te informo que ¿vamos a comer hoy? saludos.",Ham
464,hola quedamos a las cinco quedo atento.,Ham
465,"hola, te informo que gracias por el apoyo en la entrega saludos.",Ham
466,viagra sin receta solo por hoy,Spam
467,"hola, te informo que felicidades eres el ganador ¡apúrate!",Spam
468,favor de confirmar asistencia al curso quedo atento.,Ham
469,"saludos, premio garantizado haz clic aquí",Spam
470,"estimado usuario, enviaré los comentarios por correo gracias.",Ham
471,"hola, te informo que premio garantizado haz clic aquí",Spam
472,atención: reunión para revisar el proyecto quedo atento.,Ham
473,"estimado usuario, gana un iphone solo por hoy",Spam
474,adjunto envío el reporte mensual saludos.,Ham
475,reunión para revisar el proyecto saludos.,Ham
476,"estimado usuario, enviaré los comentarios por correo saludos.",Ham
477,"estimado usuario, descuento exclusivo hoy solo por hoy",Spam
478,favor de confirmar asistencia al curso gracias.,Ham
479,adjunto envío el reporte mensual quedo atento.,Ham
480,atención: hola quedamos a las cinco quedo atento.,Ham
481,"saludos, favor de confirmar asistencia al curso saludos.",Ham
482,"hola, te informo que ¿vamos a comer hoy? gracias.",Ham
483,"hola, te informo que adjunto envío el reporte mensual gracias.",Ham
484,"estimado usuario, ¿vamos a comer hoy? quedo atento.",Ham
485,gracias por el apoyo en la entrega quedo atento.,Ham
486,"hola, te informo que ¿vamos a comer hoy? gracias.",Ham
487,"hola, te informo que felicidades eres el ganador solo por hoy",Spam
488,"saludos, descuento exclusivo hoy haz clic aquí",Spam
489,"estimado usuario, gracias por el apoyo en la entrega quedo atento.",Ham
490,"estimado usuario, adjunto envío el reporte mensual saludos.",Ham
491,atención: actualización del servidor el fin de semana gracias.,Ham
492,"hola, te informo que reunión para revisar el proyecto saludos.",Ham
